question_number,question_text,variable_name,variable_type,variable_topic
Q9,Would you read Grand Valley Magazine if it was offered as a WEBSITEÂ version only?,website_only,numeric,demographic
Q10,How can we make the Grand Valley MagazineÂ WEBSITE more engaging?,website_engagment,character,demographic
Q10_TEXT,How can we make the Grand Valley MagazineÂ WEBSITE more engaging?,website_engagment_text,character,demographic
Q11_1,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Saved article/issue,action_saved_article,NA,NA
Q11_2,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Discussed article/issue,action_discussed_article,,
Q11_3,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Recommended GVSU to prospective students,action_recommended_gv,,
Q11_4,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Attended an event,action_attended_event,,
Q11_5,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Made donation,action_donated,,
Q11_6,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Visited website,action_visited_website,,
Q11_7,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Contacted classmate,action_contacted_classmate,,
Q11_9,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Shared article on social media,action_shared_article_social_media,,
Q11_10,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-Shared with others via email,action_shared_article_email,,
Q11_8,What actions have you taken as a result of reading Grand ValleyÂ Magazine? Mark all that apply.-No action taken,action_none,,
Q12,Would you like to opt in to continue to receiveÂ PRINTED issues of the Grand Valley Magazine?,opting,,
Q13,Do you have any other comments?,comments,,
Q14,What is your age?,age,,
Q15_1,What describes your relation to Grand Valley State University? Mark all that apply.-Alumni,relation_alumni,character,
Q15_2,What describes your relation to Grand Valley State University? Mark all that apply.-Undergraduate student,relation_undergrad,character,
Q15_3,What describes your relation to Grand Valley State University? Mark all that apply.-Graduate student,relation_grad,character,
Q15_4,What describes your relation to Grand Valley State University? Mark all that apply.-Family member of student,relation_family_undergrad,character,
Q15_5,What describes your relation to Grand Valley State University? Mark all that apply.-Faculty or staff member,relation_faculty,character,
Q15_6,What describes your relation to Grand Valley State University? Mark all that apply.-Family member of faculty/staff,relation_family_faculty,character,
Q15_7,What describes your relation to Grand Valley State University? Mark all that apply.-Donor,relation_donor,character,
Q15_10,What describes your relation to Grand Valley State University? Mark all that apply.-Other:,relation_other,character,
Q15_10_TEXT,What describes your relation to Grand Valley State University? Mark all that apply.-Other:,relation_text,character,
Q16,"You responded Yes, to continue receiving printed issues of Grand Valley Magazine. Please follow t...",drop2,,
